Epoch 1/20 | Train Loss: 404.94 | Val Loss: 376.73 | Val MAE: 15.66
Epoch 2/20 | Train Loss: 346.56 | Val Loss: 349.50 | Val MAE: 14.75
Epoch 3/20 | Train Loss: 332.97 | Val Loss: 325.68 | Val MAE: 13.94
Epoch 4/20 | Train Loss: 320.21 | Val Loss: 313.08 | Val MAE: 13.63
Epoch 5/20 | Train Loss: 307.58 | Val Loss: 303.43 | Val MAE: 13.01
Epoch 6/20 | Train Loss: 292.30 | Val Loss: 284.64 | Val MAE: 12.62
Epoch 7/20 | Train Loss: 280.23 | Val Loss: 278.87 | Val MAE: 12.46
Epoch 8/20 | Train Loss: 271.67 | Val Loss: 286.88 | Val MAE: 13.42
Epoch 9/20 | Train Loss: 261.49 | Val Loss: 272.33 | Val MAE: 12.05
Epoch 10/20 | Train Loss: 252.75 | Val Loss: 250.71 | Val MAE: 11.85
Epoch 11/20 | Train Loss: 244.42 | Val Loss: 264.42 | Val MAE: 12.57
Epoch 12/20 | Train Loss: 235.61 | Val Loss: 260.66 | Val MAE: 12.77
Epoch 13/20 | Train Loss: 228.03 | Val Loss: 298.15 | Val MAE: 12.31
Epoch 14/20 | Train Loss: 220.49 | Val Loss: 252.48 | Val MAE: 12.48
Epoch 15/20 | Train Loss: 213.72 | Val Loss: 250.54 | Val MAE: 12.38
Epoch 16/20 | Train Loss: 208.65 | Val Loss: 242.71 | Val MAE: 11.66
Epoch 17/20 | Train Loss: 199.36 | Val Loss: 237.36 | Val MAE: 11.21
Epoch 18/20 | Train Loss: 191.82 | Val Loss: 229.20 | Val MAE: 11.51
Epoch 19/20 | Train Loss: 186.85 | Val Loss: 223.16 | Val MAE: 10.96
Epoch 20/20 | Train Loss: 182.94 | Val Loss: 251.04 | Val MAE: 12.38
True age: 1.0 | Predicted: 1.31
